candidate_id,K,template_family,offsets_log10_tau,span,shift,time_window_anchor,candidate_hash
K06_cc_span6.0_shift+0.5_dens1.00,6,cole_cole_tau_centered,-3.000000000000;-1.800000000000;-0.600000000000;0.600000000000;1.800000000000;3.000000000000,6.000000,0.500000,3.162277660168e-03,9e3001d0b28a8eb389e8941adbb8d90fe45522cf1dec3dee35d5fd256f4532ab
K06_cc_span6.0_shift+0.5_dens1.25,6,cole_cole_tau_centered,-3.000000000000;-1.584201126228;-0.401244182986;0.401244182986;1.584201126228;3.000000000000,6.000000,0.500000,3.162277660168e-03,5c59d894945c47fa6dd522d408850ba3aff4db0d9bd782764f87d4e1fc68eea0
K06_cc_span8.0_shift-0.5_dens1.00,6,cole_cole_tau_centered,-4.000000000000;-2.400000000000;-0.800000000000;0.800000000000;2.400000000000;4.000000000000,8.000000,-0.500000,3.162277660168e-03,11a3e9dffa193927bc000a9722c87703febea003d38c9b5b0aa9e6237c5fe549
K06_cc_span8.0_shift-0.5_dens1.25,6,cole_cole_tau_centered,-4.000000000000;-2.112268168304;-0.534992243981;0.534992243981;2.112268168304;4.000000000000,8.000000,-0.500000,3.162277660168e-03,ac12132930633ba0677d2643b730012ed90e79bb5bb1fef34d927983cd412f3f
K06_cc_span8.0_shift+0.0_dens1.00,6,cole_cole_tau_centered,-4.000000000000;-2.400000000000;-0.800000000000;0.800000000000;2.400000000000;4.000000000000,8.000000,0.000000,3.162277660168e-03,e9af586fa9be94c1a2def89cf008342c764a29fdd97477ba87ce9e2c81d287ce
K06_cc_span8.0_shift+0.0_dens1.25,6,cole_cole_tau_centered,-4.000000000000;-2.112268168304;-0.534992243981;0.534992243981;2.112268168304;4.000000000000,8.000000,0.000000,3.162277660168e-03,5e1e076316fd6ca2312dc8022f6340b856301f4865c381c5f271d2258e47db64
K06_cc_span8.0_shift+0.5_dens1.00,6,cole_cole_tau_centered,-4.000000000000;-2.400000000000;-0.800000000000;0.800000000000;2.400000000000;4.000000000000,8.000000,0.500000,3.162277660168e-03,aaa7ad6b702998e19f2135db37be18d4873419e97464aeb607e579a6e2020bd8
K06_cc_span8.0_shift+0.5_dens1.25,6,cole_cole_tau_centered,-4.000000000000;-2.112268168304;-0.534992243981;0.534992243981;2.112268168304;4.000000000000,8.000000,0.500000,3.162277660168e-03,116cf5b4cea5a480e9681f2a76d869505042b639b929219c0042532adb7e8120
K06_tw_span4.0_shift-0.5_dens1.00,6,time_window_centered,-2.000000000000;-1.200000000000;-0.400000000000;0.400000000000;1.200000000000;2.000000000000,4.000000,-0.500000,3.162277660168e-04,46595c99775a73068bccfd8f487c49874eb2a8006d2215a1b10c3f4c8489a016
K06_tw_span4.0_shift-0.5_dens1.25,6,time_window_centered,-2.000000000000;-1.056134084152;-0.267496121991;0.267496121991;1.056134084152;2.000000000000,4.000000,-0.500000,3.162277660168e-04,31a6a64e6e69dc33bee5534a122a42cf1c20ad36acaddbf04c8375c501b99b01
K06_tw_span4.0_shift+0.0_dens1.00,6,time_window_centered,-2.000000000000;-1.200000000000;-0.400000000000;0.400000000000;1.200000000000;2.000000000000,4.000000,0.000000,3.162277660168e-04,2c54b4c41d225669e882a70c62b977f17163373c95505f03340036b281d1153d
K06_tw_span4.0_shift+0.0_dens1.25,6,time_window_centered,-2.000000000000;-1.056134084152;-0.267496121991;0.267496121991;1.056134084152;2.000000000000,4.000000,0.000000,3.162277660168e-04,b0098cd80a01aee1ba29589a411e56dfb2c2382b88c883d401652ffa68854588
K06_tw_span4.0_shift+0.5_dens1.00,6,time_window_centered,-2.000000000000;-1.200000000000;-0.400000000000;0.400000000000;1.200000000000;2.000000000000,4.000000,0.500000,3.162277660168e-04,d1d19cb20adb3a499b57df3fb634a11467a8260edd3b4eeba8fc0dc12abb24d6
K06_tw_span4.0_shift+0.5_dens1.25,6,time_window_centered,-2.000000000000;-1.056134084152;-0.267496121991;0.267496121991;1.056134084152;2.000000000000,4.000000,0.500000,3.162277660168e-04,fff4372099841f95665a1fff8c327f737b4a164478c630ca8f9ea74ab6486cf7
K06_tw_span6.0_shift-0.5_dens1.00,6,time_window_centered,-3.000000000000;-1.800000000000;-0.600000000000;0.600000000000;1.800000000000;3.000000000000,6.000000,-0.500000,3.162277660168e-04,121f5715fb096c9a7d0be121e202b025addb7c72e74a6f615d84227b3599bf7a
K06_tw_span6.0_shift-0.5_dens1.25,6,time_window_centered,-3.000000000000;-1.584201126228;-0.401244182986;0.401244182986;1.584201126228;3.000000000000,6.000000,-0.500000,3.162277660168e-04,7442737da0f01db503edafebe1adff2f9ac48ad0768b514f274ead0dc9886d97
K06_tw_span6.0_shift+0.0_dens1.00,6,time_window_centered,-3.000000000000;-1.800000000000;-0.600000000000;0.600000000000;1.800000000000;3.000000000000,6.000000,0.000000,3.162277660168e-04,8c1820906c88f3f0abab4238ef6ca81c7caf56e0e87a4ff4cfc2137f6b425d18
K06_tw_span6.0_shift+0.0_dens1.25,6,time_window_centered,-3.000000000000;-1.584201126228;-0.401244182986;0.401244182986;1.584201126228;3.000000000000,6.000000,0.000000,3.162277660168e-04,abf1fc5cd27497743b998b0e1369adf279daa55a5deb94e49b49a55ee3d061ad
K06_tw_span6.0_shift+0.5_dens1.00,6,time_window_centered,-3.000000000000;-1.800000000000;-0.600000000000;0.600000000000;1.800000000000;3.000000000000,6.000000,0.500000,3.162277660168e-04,1a1d44628c221ee479d194b5a00369982a399004e36943e116d8dfef0dfc538d
K06_tw_span6.0_shift+0.5_dens1.25,6,time_window_centered,-3.000000000000;-1.584201126228;-0.401244182986;0.401244182986;1.584201126228;3.000000000000,6.000000,0.500000,3.162277660168e-04,ec5e4a05fbf6fbebeccfcbb826ad25a5663670bf2b6918a777b57706dc86f028
K06_tw_span8.0_shift-0.5_dens1.00,6,time_window_centered,-4.000000000000;-2.400000000000;-0.800000000000;0.800000000000;2.400000000000;4.000000000000,8.000000,-0.500000,3.162277660168e-04,58362e219e82a75e20be20832ba1ce709efc40a0cb08144e141014c7634f0741
K06_tw_span8.0_shift-0.5_dens1.25,6,time_window_centered,-4.000000000000;-2.112268168304;-0.534992243981;0.534992243981;2.112268168304;4.000000000000,8.000000,-0.500000,3.162277660168e-04,578a6c758d717e4280dfa7ad860095f06ccd7bcab34b19be9a2b9df6b3cb0a62
K06_tw_span8.0_shift+0.0_dens1.00,6,time_window_centered,-4.000000000000;-2.400000000000;-0.800000000000;0.800000000000;2.400000000000;4.000000000000,8.000000,0.000000,3.162277660168e-04,578965207ae8bf92506a6a4420927ea76fa3cf57bb2adf6d81c08c90b777d63b
K06_tw_span8.0_shift+0.0_dens1.25,6,time_window_centered,-4.000000000000;-2.112268168304;-0.534992243981;0.534992243981;2.112268168304;4.000000000000,8.000000,0.000000,3.162277660168e-04,a508c73f3f815b3b30c7d6e7ae60d37acc825e2e3b47d3783ef76f1ef352f295
K06_tw_span8.0_shift+0.5_dens1.00,6,time_window_centered,-4.000000000000;-2.400000000000;-0.800000000000;0.800000000000;2.400000000000;4.000000000000,8.000000,0.500000,3.162277660168e-04,bb74edd84d45f26b1ed3e2ca2057082ea1fed8af0cf4239c68be57b5098439cf
K06_tw_span8.0_shift+0.5_dens1.25,6,time_window_centered,-4.000000000000;-2.112268168304;-0.534992243981;0.534992243981;2.112268168304;4.000000000000,8.000000,0.500000,3.162277660168e-04,aacabeed99e5ec5a11c343770ba48b527624204ed27125913877f5792a7e2c2b
K08_cc_span4.0_shift-0.5_dens1.00,8,cole_cole_tau_centered,-2.000000000000;-1.428571428571;-0.857142857143;-0.285714285714;0.285714285714;0.857142857143;1.428571428571;2.000000000000,4.000000,-0.500000,3.162277660168e-03,cdc4c94630d69315ebd0547b2068e51e83daced944eb81fde41ddc0c0e96d699
K08_cc_span4.0_shift-0.5_dens1.25,8,cole_cole_tau_centered,-2.000000000000;-1.313318164607;-0.693520038489;-0.175653757986;0.175653757986;0.693520038489;1.313318164607;2.000000000000,4.000000,-0.500000,3.162277660168e-03,e69e14bddde9252825029ba5d2a1d0c87766976574bccb335ccd995bbff769f9
K08_cc_span4.0_shift+0.0_dens1.00,8,cole_cole_tau_centered,-2.000000000000;-1.428571428571;-0.857142857143;-0.285714285714;0.285714285714;0.857142857143;1.428571428571;2.000000000000,4.000000,0.000000,3.162277660168e-03,317f1f9a347f37654ba9891d359dda3d0bcc25b0f2ae3e6f4bcc917a29b74f60
K08_cc_span4.0_shift+0.0_dens1.25,8,cole_cole_tau_centered,-2.000000000000;-1.313318164607;-0.693520038489;-0.175653757986;0.175653757986;0.693520038489;1.313318164607;2.000000000000,4.000000,0.000000,3.162277660168e-03,60a27cf550ff7ed514f0725fcee63e13bd314a18db00578d30439605bb5fa733
K08_cc_span4.0_shift+0.5_dens1.00,8,cole_cole_tau_centered,-2.000000000000;-1.428571428571;-0.857142857143;-0.285714285714;0.285714285714;0.857142857143;1.428571428571;2.000000000000,4.000000,0.500000,3.162277660168e-03,e593ec7ef2c9774d95ebd8fa70c35fde96acaf7abfcae17e2ac68db688d449fc
K08_cc_span4.0_shift+0.5_dens1.25,8,cole_cole_tau_centered,-2.000000000000;-1.313318164607;-0.693520038489;-0.175653757986;0.175653757986;0.693520038489;1.313318164607;2.000000000000,4.000000,0.500000,3.162277660168e-03,61dca0b7628b56f63e6a08510e1625f9a56127c0f1dfb6fa6a332977af9d3a21
K08_cc_span6.0_shift-0.5_dens1.00,8,cole_cole_tau_centered,-3.000000000000;-2.142857142857;-1.285714285714;-0.428571428571;0.428571428571;1.285714285714;2.142857142857;3.000000000000,6.000000,-0.500000,3.162277660168e-03,5bda443cdb75e870451aff50931713c14202f8238e5b127854a7cea25ad24204
K08_cc_span6.0_shift-0.5_dens1.25,8,cole_cole_tau_centered,-3.000000000000;-1.969977246911;-1.040280057733;-0.263480636979;0.263480636979;1.040280057733;1.969977246911;3.000000000000,6.000000,-0.500000,3.162277660168e-03,bb00fc64d772eb4f8418cd9c3886905974907ba3c94a56e8ac5a69a29a132adb
K08_cc_span6.0_shift+0.0_dens1.00,8,cole_cole_tau_centered,-3.000000000000;-2.142857142857;-1.285714285714;-0.428571428571;0.428571428571;1.285714285714;2.142857142857;3.000000000000,6.000000,0.000000,3.162277660168e-03,700747456218a75041d2dcb1fd6a94bda61433666cad00572a7c232e187845cc
K08_cc_span6.0_shift+0.0_dens1.25,8,cole_cole_tau_centered,-3.000000000000;-1.969977246911;-1.040280057733;-0.263480636979;0.263480636979;1.040280057733;1.969977246911;3.000000000000,6.000000,0.000000,3.162277660168e-03,7f3794c7a778480f0c7cf62248723030b6da4641f79a409882cb76b31858bbd2
K08_cc_span6.0_shift+0.5_dens1.00,8,cole_cole_tau_centered,-3.000000000000;-2.142857142857;-1.285714285714;-0.428571428571;0.428571428571;1.285714285714;2.142857142857;3.000000000000,6.000000,0.500000,3.162277660168e-03,5b48bb659f16dadfe59d8fe317cdf9c09e975d521bc0db7b156a04eab0968543
K08_cc_span6.0_shift+0.5_dens1.25,8,cole_cole_tau_centered,-3.000000000000;-1.969977246911;-1.040280057733;-0.263480636979;0.263480636979;1.040280057733;1.969977246911;3.000000000000,6.000000,0.500000,3.162277660168e-03,ab0d5281a8404782643c60f25ab2bd66153e33253717813e0bfff1da02a7fb9c
K08_cc_span8.0_shift-0.5_dens1.00,8,cole_cole_tau_centered,-4.000000000000;-2.857142857143;-1.714285714286;-0.571428571429;0.571428571429;1.714285714286;2.857142857143;4.000000000000,8.000000,-0.500000,3.162277660168e-03,851ada3e77687e76d47e6d27c12a93ad8da2ab12465a729ee419f1d2ea94fb96
K08_cc_span8.0_shift-0.5_dens1.25,8,cole_cole_tau_centered,-4.000000000000;-2.626636329214;-1.387040076978;-0.351307515972;0.351307515972;1.387040076978;2.626636329214;4.000000000000,8.000000,-0.500000,3.162277660168e-03,d524eaf60d95d5f755e1d652bd6fca3be6618dedf6177e947e938bfa2663bd7f
