time_obs,receiver_type,radius,Ex,Ey,Hz,dBzdt,sample_count,candidate_count_min,candidate_count_max,candidate_count_mean
0.0010842021724855044,point,0.0,0.0003653293621200877,1.7419708068204913e-05,nan,5.618378070451668e-07,1,32,32,32.0
0.0010842021724855044,disk_average,2.0,0.0003656953814838124,1.9447075129310757e-05,-0.0003529498320706074,5.574552585411991e-07,5,4,32,9.6
0.0013552527156068805,point,0.0,0.00028494229968862857,1.5382074184526705e-05,nan,3.66115040552565e-07,1,32,32,32.0
0.0013552527156068805,disk_average,2.0,0.0002852333881661424,1.6511114276881982e-05,-0.00027787780246556323,3.6371888280217413e-07,5,4,32,9.6
0.0016940658945086007,point,0.0,0.00021973811378968005,1.1976718541871499e-05,nan,2.3695592727756864e-07,1,32,32,32.0
0.0016940658945086007,disk_average,2.0,0.00021995634271136872,1.258311858317639e-05,-0.00021833199784509054,2.3568525800844361e-07,5,4,32,9.6
0.002117582368135751,point,0.0,0.00016858663160467687,8.526591561205424e-06,nan,1.5381668862662816e-07,1,32,32,32.0
0.002117582368135751,disk_average,2.0,0.00016874656754688267,8.852000141063945e-06,-0.00017097280362271482,1.5314388907536892e-07,5,4,32,9.6
0.0026469779601696886,point,0.0,0.00012912101754084695,5.712645212449547e-06,nan,1.0036739225505404e-07,1,32,32,32.0
0.0026469779601696886,disk_average,2.0,0.00012923822226198385,5.894946124857936e-06,-0.0001330389289830839,9.99983091276427e-08,5,4,32,9.6
0.0033087224502121107,point,0.0,9.876590181822784e-05,3.692734775765001e-06,nan,6.549788577360863e-08,1,32,32,32.0
0.0033087224502121107,disk_average,2.0,9.885218904780902e-05,3.8031220527810186e-06,-0.00010253874980523529,6.528260564277852e-08,5,4,32,9.6
0.004135903062765138,point,0.0,7.531376950367308e-05,2.341419253048393e-06,nan,4.2378301827269595e-08,1,32,32,32.0
0.004135903062765138,disk_average,2.0,7.537746910049828e-05,2.414111814530822e-06,-7.811300639357725e-05,4.22452337059154e-08,5,4,32,9.6
0.0051698788284564225,point,0.0,5.710931321977153e-05,1.4575215885290805e-06,nan,2.6971241082059898e-08,1,32,32,32.0
0.0051698788284564225,disk_average,2.0,5.7156230165186816e-05,1.5084554347769845e-06,-5.878226413053868e-05,2.6886456301089875e-08,5,4,32,9.6
0.006462348535570529,point,0.0,4.298619607657043e-05,8.741794125652421e-07,nan,1.6811036177866734e-08,1,32,32,32.0
0.006462348535570529,disk_average,2.0,4.302059554348575e-05,9.110438056904483e-07,-4.373403758202859e-05,1.6757028446243266e-08,5,4,32,9.6
0.00807793566946316,point,0.0,3.210849584129205e-05,4.858313806145145e-07,nan,1.0262684632591645e-08,1,32,32,32.0
0.00807793566946316,disk_average,2.0,3.213355717314153e-05,5.1269091728576e-07,-3.221286762952863e-05,1.0228952239535865e-08,5,4,32,9.6
0.01009741958682895,point,0.0,2.3824590016397035e-05,2.3253620167352264e-07,nan,6.159305509704876e-09,1,32,32,32.0
0.01009741958682895,disk_average,2.0,2.3842709103542123e-05,2.5194843282101295e-07,-2.3506528495592068e-05,6.138796044782681e-09,5,4,32,9.6
0.012621774483536187,point,0.0,1.758536030929105e-05,7.787805119734239e-08,nan,3.6519687244995666e-09,1,32,32,32.0
0.012621774483536187,disk_average,2.0,1.759836861946977e-05,9.171253233642332e-08,-1.6983527192814624e-05,3.639806018284585e-09,5,4,32,9.6
0.015777218104420235,point,0.0,1.2921291401269829e-05,-5.735125456168627e-09,nan,2.144461060019196e-09,1,32,32,32.0
0.015777218104420235,disk_average,2.0,1.293060939627905e-05,3.997347415401453e-09,-1.213032136231451e-05,2.137369816613497e-09,5,4,32,9.6
0.019721522630525293,point,0.0,9.446896487976025e-06,-4.248371590161426e-08,nan,1.2441634679300733e-09,1,32,32,32.0
0.019721522630525293,disk_average,2.0,9.453652324698804e-06,-3.5677952946306276e-08,-8.557232713010501e-06,1.2400710659482754e-09,5,4,32,9.6
0.024651903288156616,point,0.0,6.863754019544711e-06,-5.2718621660127046e-08,nan,7.086750461477853e-10,1,32,32,32.0
0.024651903288156616,disk_average,2.0,6.8688302565088625e-06,-4.793645728597368e-08,-5.973288807810017e-06,7.063347858256553e-10,5,4,32,9.6
0.03081487911019577,point,0.0,4.9507118840906175e-06,-5.099608701244174e-08,nan,3.938538824388444e-10,1,32,32,32.0
0.03081487911019577,disk_average,2.0,4.954740772717607e-06,-4.755978176128811e-08,-4.1503909648202285e-06,3.9252549262382704e-10,5,4,32,9.6
0.03851859888774471,point,0.0,3.5451395457596216e-06,-4.5329641481085906e-08,nan,2.134643069375491e-10,1,32,32,32.0
0.03851859888774471,disk_average,2.0,3.5485184773534313e-06,-4.2770409381858467e-08,-2.897145544990663e-06,2.1271312098011633e-10,5,4,32,9.6
0.048148248609680894,point,0.0,2.523941363138862e-06,-3.877073827114742e-08,nan,1.1396226352730016e-10,1,32,32,32.0
0.048148248609680894,disk_average,2.0,2.5268971875351334e-06,-3.6769927659153334e-08,-2.0498475532309214e-06,1.1353330658646262e-10,5,4,32,9.6
0.06018531076210112,point,0.0,1.7905396756593094e-06,-3.1959294304653455e-08,nan,6.121381954312409e-11,1,32,32,32.0
0.06018531076210112,disk_average,2.0,1.7931772153225388e-06,-3.031988162489154e-08,-1.4753935281795976e-06,6.096254581846257e-11,5,4,32,9.6
0.0752316384526264,point,0.0,1.2683577397058617e-06,-2.50815093961016e-08,nan,3.38820181463872e-11,1,32,32,32.0
0.0752316384526264,disk_average,2.0,1.2707100496062053e-06,-2.36939007370185e-08,-1.0759376298118283e-06,3.3730905647057034e-11,5,4,32,9.6
0.09403954806578299,point,0.0,8.981030361374075e-07,-1.8585201640679166e-08,nan,1.9520576372425647e-11,1,32,32,32.0
0.09403954806578299,disk_average,2.0,9.00152129654348e-07,-1.7400293743951375e-08,-7.879595540341205e-07,1.9428768961110447e-11,5,4,32,9.6
0.11754943508222873,point,0.0,6.357044570649467e-07,-1.3006761235691171e-08,nan,1.1563292787928111e-11,1,32,32,32.0
0.11754943508222873,disk_average,2.0,6.374176655830541e-07,-1.201280738396187e-08,-5.747134116533359e-07,1.1508138721287234e-11,5,4,32,9.6
0.1469367938527859,point,0.0,4.4946611823333086e-07,-8.717428856319704e-09,nan,6.87796722258258e-12,1,32,32,32.0
0.1469367938527859,disk_average,2.0,4.508851941749306e-07,-7.877437761758961e-09,-4.158412470026578e-07,6.845583931251229e-12,5,4,32,9.6
