K,candidate_id,case_id,dbdt_p95,h_p95,ip_increment_nrmse,passed,peak_time_error_steps_max,receiver_id,receiver_index,total_p95,unexplained_sign_flips,waveform_id
4,K04_cc_span6.0_shift+0.0_dens1.00,PG01,0.097978861653378,0.060884970611890535,0.06592463488340583,False,0.0,point,0,0.0294433639880035,0,W0
4,K04_cc_span6.0_shift+0.0_dens1.00,PG01,0.0292775254989097,0.017371993346659245,0.06691878808161371,False,0.0,point,1,0.015529550042494206,0,W0
4,K04_cc_span6.0_shift+0.0_dens1.00,PG01,0.08993238708822397,0.04284691854850907,0.0770622552459347,False,0.0,point,0,0.027919669116187356,0,W1
4,K04_cc_span6.0_shift+0.0_dens1.00,PG01,0.030721003356030355,0.017380041194294468,0.0760301483129187,False,0.0,point,1,0.0152556809211804,0,W1
4,K04_cc_span6.0_shift+0.0_dens1.00,PG01,0.11642034903588994,0.04540536585629397,0.10784238864251798,False,0.0,point,0,0.029456934607565696,0,W2
4,K04_cc_span6.0_shift+0.0_dens1.00,PG01,0.044331624696649745,0.017404127370435986,0.11183886457572052,False,0.0,point,1,0.016207093088459402,0,W2
4,K04_cc_span6.0_shift+0.0_dens1.25,PG01,0.09600253009017704,0.08837565533626793,0.06539096015104709,False,0.0,point,0,0.034990447842437385,0,W0
4,K04_cc_span6.0_shift+0.0_dens1.25,PG01,0.03902079506786549,0.013470388922716762,0.06654678024260069,False,0.0,point,1,0.015095819823027939,0,W0
4,K04_cc_span6.0_shift+0.0_dens1.25,PG01,0.08812964401530901,0.07650397732119378,0.07919768466162413,False,0.0,point,0,0.03162819615442538,0,W1
4,K04_cc_span6.0_shift+0.0_dens1.25,PG01,0.039615019044869276,0.01347383879106696,0.07834187222319547,False,0.0,point,1,0.01553571457307541,0,W1
4,K04_cc_span6.0_shift+0.0_dens1.25,PG01,0.1137591190826093,0.07994286675690002,0.12576779800203564,False,0.0,point,0,0.036539680687979414,0,W2
4,K04_cc_span6.0_shift+0.0_dens1.25,PG01,0.06044196233933743,0.013483842817652796,0.13131454571219534,False,0.0,point,1,0.01609454026771824,0,W2
4,K04_cc_span6.0_shift+0.5_dens1.00,PG01,0.10940763904819606,0.0481641157124717,0.09878724622464206,False,0.0,point,0,0.038962855791179786,0,W0
4,K04_cc_span6.0_shift+0.5_dens1.00,PG01,0.0337057875395522,0.01471147457856023,0.09855359317714275,False,0.0,point,1,0.020011922315306997,0,W0
4,K04_cc_span6.0_shift+0.5_dens1.00,PG01,0.11185689304423857,0.04927681422285601,0.11832438453131201,False,0.0,point,0,0.04199313824193086,0,W1
4,K04_cc_span6.0_shift+0.5_dens1.00,PG01,0.034059009103076236,0.0147110044606989,0.11653713689797164,False,0.0,point,1,0.020298660805836012,0,W1
4,K04_cc_span6.0_shift+0.5_dens1.00,PG01,0.13152936400061616,0.051818427507819856,0.14367225662872565,False,0.0,point,0,0.04613542979062564,0,W2
4,K04_cc_span6.0_shift+0.5_dens1.00,PG01,0.03479318715956879,0.014709482294111625,0.15842656925183432,False,0.0,point,1,0.019899321335427517,0,W2
4,K04_cc_span6.0_shift+0.5_dens1.25,PG01,0.10890088092377323,0.05654245360790695,0.09613387396674866,False,0.0,point,0,0.04663164058681099,0,W0
4,K04_cc_span6.0_shift+0.5_dens1.25,PG01,0.03337749651083164,0.02085214708749534,0.09609172630460298,False,0.0,point,1,0.02167865855961674,0,W0
4,K04_cc_span6.0_shift+0.5_dens1.25,PG01,0.11043561285830823,0.057567433152655806,0.11480380157668794,False,0.0,point,0,0.0494064699501905,0,W1
4,K04_cc_span6.0_shift+0.5_dens1.25,PG01,0.03364792993581683,0.020852587740673452,0.11294348807743572,False,0.0,point,1,0.02172168377776681,0,W1
4,K04_cc_span6.0_shift+0.5_dens1.25,PG01,0.13081457053455728,0.060475953133849306,0.13943062980594606,False,0.0,point,0,0.049137617497660074,0,W2
4,K04_cc_span6.0_shift+0.5_dens1.25,PG01,0.034188111049751606,0.020853848754472108,0.15314733750941678,False,0.0,point,1,0.022946378948790976,0,W2
4,K04_cc_span8.0_shift-0.5_dens1.00,PG01,0.08637206153552884,0.12999313546979396,0.058295586846340425,False,0.08853767324754126,point,0,0.03772545958089094,0,W0
4,K04_cc_span8.0_shift-0.5_dens1.00,PG01,0.021422326460889797,0.023810586805586495,0.05955742396147109,False,0.0,point,1,0.02126327618501459,0,W0
4,K04_cc_span8.0_shift-0.5_dens1.00,PG01,0.07868405111310241,0.11477902169321164,0.06134345484077965,False,0.0,point,0,0.03583442949912716,0,W1
4,K04_cc_span8.0_shift-0.5_dens1.00,PG01,0.02145643771329058,0.0238180796966135,0.06143430937292756,False,0.0,point,1,0.021173204009441147,0,W1
4,K04_cc_span8.0_shift-0.5_dens1.00,PG01,0.10071829151349633,0.11702083079808331,0.08784171640583982,False,0.0,point,0,0.044273612163402976,0,W2
