K,candidate_id,case_id,condition_number,dbdt_p95,group_p95_W0,group_p95_W1,group_p95_W2,group_p95_W3,group_p95_disk_1.0,group_p95_disk_4.0,group_p95_point,h_p95,ip_p95,n_tasks,qualifies,scope,spectral_error,spectral_error_s0,spectral_error_s1,split,total_p95,valid
4,K04_cc_span8.0_shift+0.5_dens1.25,TR02,25.846280534593514,0.06950110565469009,0.04684407761107611,0.046622401843881875,0.043149561592794185,nan,nan,nan,0.04718439072501786,0.08115401487626514,0.11862182387714212,6,False,point,0.021214528715460805,0.019341676284610886,0.021214528715460805,train,0.04718439072501786,True
4,K04_tw_span4.0_shift-0.5_dens1.00,TR02,13.372484146465258,0.037697681771006096,0.018516119864975443,0.019142649986680506,0.018577606730299748,nan,nan,nan,0.019117914340469635,0.023780915590515306,0.040355452073579476,6,False,point,0.011248383169521512,0.01550459910162563,0.011248383169521512,train,0.019117914340469635,True
4,K04_tw_span4.0_shift-0.5_dens1.25,TR02,12.108900433499116,0.05207905094488845,0.02729038541627911,0.027614150027011848,0.02765585813993195,nan,nan,nan,0.02794018053315714,0.02782904012306213,0.054984706015472326,6,False,point,0.013602712041775626,0.016503020349981197,0.013602712041775626,train,0.02794018053315714,True
4,K04_tw_span4.0_shift+0.0_dens1.00,TR02,8.559612101985275,0.03591702583806477,0.01816456159964255,0.018091806116435606,0.018058265554495617,nan,nan,nan,0.01842770962692561,0.018750136536397375,0.038340835600625275,6,False,point,0.008386591697213678,0.010554024963003299,0.008386591697213678,train,0.01842770962692561,True
4,K04_tw_span4.0_shift+0.0_dens1.25,TR02,8.942127361625193,0.03200095488761418,0.02147073520925796,0.02179287590798342,0.02277799604731058,nan,nan,nan,0.02273775721228314,0.03620159802503871,0.049338499038852,6,False,point,0.008183923737456708,0.010776236943357128,0.008183923737456708,train,0.02273775721228314,True
4,K04_tw_span4.0_shift+0.5_dens1.00,TR02,7.198653105655832,0.0364967829942022,0.022657931899408956,0.024063711434226434,0.025117166343713644,nan,nan,nan,0.025170262104081874,0.026375821624333606,0.04721284237486876,6,False,point,0.009273383851848059,0.008623688725448294,0.009273383851848059,train,0.025170262104081874,True
4,K04_tw_span4.0_shift+0.5_dens1.25,TR02,7.8634429155000465,0.0190675936681645,0.010907087294973274,0.010861527462827475,0.010045465185601702,nan,nan,nan,0.01100646895183288,0.017139786655593722,0.02268100959194471,6,False,point,0.006137250431289573,0.0075994128277033285,0.006137250431289573,train,0.01100646895183288,True
4,K04_tw_span6.0_shift-0.5_dens1.00,TR02,19.87596154089188,0.06909710076200604,0.03968465743954046,0.04176132779328174,0.046768731202494584,nan,nan,nan,0.04603982654382929,0.04606525244145038,0.09482682256272898,6,False,point,0.018823235286312637,0.017690533234541426,0.018823235286312637,train,0.04603982654382929,True
4,K04_tw_span6.0_shift-0.5_dens1.25,TR02,13.608638163295957,0.09405477159496164,0.05286100009328528,0.05269582969053776,0.05021261535874573,nan,nan,nan,0.05331293173054767,0.08787896713923771,0.14725837785409823,6,False,point,0.019685534682251787,0.02072130501032462,0.019685534682251787,train,0.05331293173054767,True
4,K04_tw_span6.0_shift+0.0_dens1.00,TR02,9.214112072607207,0.09999029959132906,0.05366089146269574,0.05427414226212491,0.05281732204349816,nan,nan,nan,0.05493220964727681,0.0773272927894915,0.12188589219302409,6,False,point,0.024160922397475033,0.019562703093904354,0.024160922397475033,train,0.05493220964727681,True
4,K04_tw_span6.0_shift+0.0_dens1.25,TR02,7.841869907453841,0.06890265391412902,0.04046409941265476,0.04060612734347154,0.03804088072566111,nan,nan,nan,0.04115255893315036,0.0444893394778911,0.08754930792105506,6,False,point,0.013336758357987848,0.01512744734375159,0.013336758357987848,train,0.04115255893315036,True
4,K04_tw_span6.0_shift+0.5_dens1.00,TR02,6.201983649683149,0.08470394680642872,0.051001853485163014,0.05090773510023389,0.05260195353785424,nan,nan,nan,0.05270388539061496,0.05086260503605249,0.15317533231113814,6,False,point,0.0271224499023345,0.021538332141495274,0.0271224499023345,train,0.05270388539061496,True
4,K04_tw_span6.0_shift+0.5_dens1.25,TR02,6.062778820059926,0.04821411432714594,0.030003508624046587,0.030161924508858427,0.03383722157654285,nan,nan,nan,0.03323546757722618,0.03737868641904522,0.0649596170215509,6,False,point,0.013903692147357606,0.012528594800196937,0.013903692147357606,train,0.03323546757722618,True
4,K04_tw_span8.0_shift-0.5_dens1.00,TR02,37.52551216910083,0.10472339382081472,0.06566770209359997,0.06852677918225833,0.056757279480243235,nan,nan,nan,0.06905223218842937,0.08009119064219437,0.14435391861533658,6,False,point,0.029680534924457557,0.02581713585932069,0.029680534924457557,train,0.06905223218842937,True
4,K04_tw_span8.0_shift-0.5_dens1.25,TR02,19.696676415165616,0.09693881341020358,0.057165453794601494,0.058123479086018996,0.0644147582910804,nan,nan,nan,0.0634864060371535,0.05818260154544769,0.1774310842032126,6,False,point,0.020464195081413273,0.025012098755638257,0.020464195081413273,train,0.0634864060371535,True
4,K04_tw_span8.0_shift+0.0_dens1.00,TR02,13.614535760722061,0.11578349319806497,0.07267897706972686,0.07228024704627044,0.06776534865524382,nan,nan,nan,0.07319913831672403,0.06675488071865135,0.23176953692170704,6,False,point,0.04254156192140919,0.0332888618677585,0.04254156192140919,train,0.07319913831672403,True
4,K04_tw_span8.0_shift+0.0_dens1.25,TR02,9.057230836723841,0.09837437767129992,0.057724900630113374,0.05791372617093163,0.057893029776008395,nan,nan,nan,0.058578758637810265,0.1048191490585498,0.12950801202028583,6,False,point,0.024863581277824946,0.022365738904649508,0.024863581277824946,train,0.058578758637810265,True
4,K04_tw_span8.0_shift+0.5_dens1.00,TR02,7.244931014798517,0.10033026697804465,0.07239269098078356,0.0770926235133239,0.08046634840486996,nan,nan,nan,0.08019262852041802,0.10069757353632354,0.26007807499450575,6,False,point,0.04559392675269487,0.0375590618080026,0.04559392675269487,train,0.08019262852041802,True
4,K04_tw_span8.0_shift+0.5_dens1.25,TR02,6.8907652273912765,0.08610485363606248,0.05240001854172288,0.05225743845700922,0.05323375205949916,nan,nan,nan,0.053558163565997505,0.05190393386643963,0.1525331255780713,6,False,point,0.027836562591835527,0.02267991475723279,0.027836562591835527,train,0.053558163565997505,True
4,K04_cc_span4.0_shift-0.5_dens1.00,TR03,7.1074203467215336,0.3573902022439543,0.26625398606984957,0.267970362188575,0.2812699331432344,nan,nan,nan,0.28118657916212453,0.7087490740346569,0.11199187011740483,6,False,point,0.04328962788673083,0.035633083874624674,0.04328962788673083,train,0.28118657916212453,True
