split,case_id,case_hash,K,candidate_id,receiver_scope,official_variant,valid,n_tasks,total_p95,ip_increment_nrmse_p95,fail_rate,qualifies_point,spectral_error,spectral_error_s0,spectral_error_s1,condition_number,relative_dc_error,optimizer_success
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span8.0_shift-0.5_dens1.00,point,S1,True,6,0.11330048018569261,0.04862095020584335,1.0,False,0.02023387144110384,0.022368006344314004,0.02023387144110384,37.52551216910083,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,4,K04_tw_span8.0_shift-0.5_dens1.25,point,S1,True,6,0.3603391184237503,0.17460655151895477,1.0,False,0.04682359055889779,0.054942739593831946,0.04682359055889779,19.696676415165616,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span4.0_shift+0.0_dens1.00,point,S1,True,6,0.039247783951504425,0.010739239566416824,1.0,False,0.005825237557349144,0.00535993813623208,0.005825237557349144,17.35968730762985,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span4.0_shift+0.0_dens1.25,point,S1,True,6,0.027344515676684847,0.006950573827788048,1.0,False,0.003128284696733802,0.002690667161165355,0.003128284696733802,22.663878073029338,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span4.0_shift+0.5_dens1.00,point,S1,True,6,0.06683115251643679,0.021375455144170503,1.0,False,0.010576278848674441,0.008981116652001046,0.010576278848674441,16.058017574847597,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span4.0_shift+0.5_dens1.25,point,S1,True,6,0.06326678861949146,0.01848887230525226,1.0,False,0.009198396617360743,0.008025564848246817,0.009198396617360743,20.926769738460326,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span4.0_shift-0.5_dens1.00,point,S1,True,6,0.05293347044749219,0.01484702351874505,1.0,False,0.0065199372732890485,0.00548445397219405,0.0065199372732890485,18.877133439683412,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span4.0_shift-0.5_dens1.25,point,S1,True,6,0.015652499281589093,0.0036669815097966543,0.5,False,0.0024283691977040767,0.0026352290074584703,0.0024283691977040767,24.459187795774497,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span6.0_shift+0.0_dens1.00,point,S1,True,6,0.17871846281614218,0.06561720778260871,1.0,False,0.02871160846699741,0.025361202038356397,0.02871160846699741,10.055388740424775,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span6.0_shift+0.0_dens1.25,point,S1,True,6,0.04466389696304297,0.011810686506321284,1.0,False,0.006272699231169188,0.005630522211584945,0.006272699231169188,11.563221638117387,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span6.0_shift+0.5_dens1.00,point,S1,True,6,0.13510379728005506,0.04377205750299628,1.0,False,0.017899898693432514,0.014879639516861026,0.017899898693432514,10.602829000916994,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span6.0_shift+0.5_dens1.25,point,S1,True,6,0.1734637627322992,0.0725612656544205,1.0,False,0.02961817248320135,0.0248632016657699,0.02961817248320135,10.900814563657676,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span6.0_shift-0.5_dens1.00,point,S1,True,6,0.18007012133340733,0.07475692282583526,1.0,False,0.030515009517335514,0.025598009499003004,0.030515009517335514,15.402605961715157,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span6.0_shift-0.5_dens1.25,point,S1,True,6,0.045749341267431624,0.013776635298722409,1.0,False,0.006546441078039274,0.005692938662335913,0.006546441078039274,13.361465589435806,2.2799552555225586e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span8.0_shift+0.0_dens1.00,point,S1,True,6,0.316822784245009,0.15254487900249375,1.0,False,0.056925363566312635,0.05163640233041417,0.056925363566312635,22.888232452442697,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span8.0_shift+0.0_dens1.25,point,S1,True,6,0.1442115168577146,0.04290843396611731,1.0,False,0.02002848383513281,0.017599522638360628,0.02002848383513281,22.244501372098995,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span8.0_shift+0.5_dens1.00,point,S1,True,6,0.09637628794659309,0.030820609614424805,1.0,False,0.015328798432768137,0.015943792362018514,0.015328798432768137,69.88613572525736,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span8.0_shift+0.5_dens1.25,point,S1,True,6,0.19304416555253612,0.07886516462111717,1.0,False,0.03264582580208855,0.02722441868156069,0.03264582580208855,64.81943206001218,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span8.0_shift-0.5_dens1.00,point,S1,True,6,0.3139886937205425,0.1523324171149419,1.0,False,0.06164765387614755,0.051895200850780004,0.06164765387614755,40.91649198527002,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_cc_span8.0_shift-0.5_dens1.25,point,S1,True,6,0.14269271590262847,0.051355476837520994,1.0,False,0.021186147299408244,0.017803877978166766,0.021186147299408244,22.455927319477855,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span4.0_shift+0.0_dens1.00,point,S1,True,6,0.06827782167936143,0.021711869763879857,1.0,False,0.010195960850102609,0.009118389052845965,0.010195960850102609,25.711743507974,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span4.0_shift+0.0_dens1.25,point,S1,True,6,0.05404945139791461,0.01676574942094477,1.0,False,0.007432935196530051,0.006359956258543038,0.007432935196530051,28.44810136976876,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span4.0_shift+0.5_dens1.00,point,S1,True,6,0.02896065972047187,0.007835630924194304,1.0,False,0.003885779858269183,0.0033699422845065966,0.003885779858269183,19.34476185713299,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span4.0_shift+0.5_dens1.25,point,S1,True,6,0.03433509947220795,0.008657180167217695,1.0,False,0.0047090663697854605,0.004573637239151835,0.0047090663697854605,24.90928883880954,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span4.0_shift-0.5_dens1.00,point,S1,True,6,0.03856820227371338,0.010430774099643986,1.0,False,0.006071801090440557,0.006104467083816269,0.006071801090440557,71.3339481079688,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span4.0_shift-0.5_dens1.25,point,S1,True,6,0.10844251609998656,0.0323354024428579,1.0,False,0.015525676819959833,0.013498356438331667,0.015525676819959833,53.3367698723599,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span6.0_shift+0.0_dens1.00,point,S1,True,6,0.1670404346284718,0.049861202132271944,1.0,False,0.022886099180316637,0.020743842832092328,0.022886099180316637,52.67876587655005,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span6.0_shift+0.0_dens1.25,point,S1,True,6,0.18923070851177812,0.07847001977416704,1.0,False,0.033220214627783885,0.028630130669410718,0.033220214627783885,32.41073072216131,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span6.0_shift+0.5_dens1.00,point,S1,True,6,0.1536236738265712,0.058669198749289095,1.0,False,0.023909835876307954,0.020025949001758678,0.023909835876307954,18.156731648443806,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span6.0_shift+0.5_dens1.25,point,S1,True,6,0.034537696866786115,0.008245449661953756,1.0,False,0.00583743136290852,0.006157526641875077,0.00583743136290852,14.455128841661042,1.1399776277612793e-16,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span6.0_shift-0.5_dens1.00,point,S1,True,6,0.17905781837480841,0.0849506196460423,1.0,False,0.03475648858849181,0.02913302738801005,0.03475648858849181,234.71887163331496,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span6.0_shift-0.5_dens1.25,point,S1,True,6,0.15064198749577293,0.05480346907117314,1.0,False,0.022346973099130016,0.018615472102102536,0.022346973099130016,123.64895361163292,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span8.0_shift+0.0_dens1.00,point,S1,True,6,0.10288871602638794,0.03134587171173217,1.0,False,0.015505663549985843,0.016297588972905966,0.015505663549985843,196.62923900268734,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span8.0_shift+0.0_dens1.25,point,S1,True,6,0.25025079435613795,0.09430893226871975,1.0,False,0.036953588123396136,0.035621321495859976,0.036953588123396136,93.78370944481998,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span8.0_shift+0.5_dens1.00,point,S1,True,6,0.27881418199819924,0.13308910214496456,1.0,False,0.054320426393974476,0.045367502524509405,0.054320426393974476,53.00092322087083,0.0,True
train,TR01,56a2b28fb07bc42ea20d7a9deea17b8d59f8690eb2d29f71a520349c502f328b,6,K06_tw_span8.0_shift+0.5_dens1.25,point,S1,True,6,0.11721631998697937,0.03678186574272813,1.0,False,0.015617465441574092,0.013133470496942473,0.015617465441574092,28.182151002024945,0.0,True
